head,type,tail,meta
long-context LLM,subclass of,LLM,"{'spans': [[196, 246]], 'source': '5873307daa0847c6941885df12ffb09e'}"
long-context LLM,subclass of,LLMs,"{'spans': [[196, 246]], 'source': '5873307daa0847c6941885df12ffb09e'}"
long-context LLM,subclass of,RAG,"{'spans': [[196, 246]], 'source': '5873307daa0847c6941885df12ffb09e'}"
long- context language,subclass of,LLMs,"{'spans': [[0, 50]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
long- context language model,subclass of,LLMs,"{'spans': [[0, 50]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
long- context language models,subclass of,LLMs,"{'spans': [[0, 50]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
se-quences,subclass of,quences,"{'spans': [[48, 98]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
long-context LLMs,different from,long-context LLMs,"{'spans': [[48, 98]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
answer quality,facet of,question-answering,"{'spans': [[96, 146]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
question-answering,has part,infor- mation,"{'spans': [[96, 146]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
question-answering,subclass of,infor- mation,"{'spans': [[96, 146]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
perfor- mance,use,retrieval,"{'spans': [[144, 194]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
perfor- mance,subclass of,retrieval,"{'spans': [[144, 194], [336, 386]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
RAG,use,perfor- mance,"{'spans': [[144, 194]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
Sam Ade Jacobs,field of work,retrieval,"{'spans': [[192, 242]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
Ammar Ahmad Awan,field of work,retrieval,"{'spans': [[192, 242]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
Ammar Ahmad Awan,father,Ahmed Aw Awan,"{'spans': [[192, 242]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
Phi-3 technical report,author,Hany Awadalla,"{'spans': [[240, 290]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
Phi-3,instance of,language model,"{'spans': [[240, 290]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
Phi-3 technical report,instance of,language model,"{'spans': [[240, 290]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
arXiv preprint,part of,arXiv,"{'spans': [[288, 338], [92, 142], [138, 188], [230, 280], [144, 194], [432, 482], [45, 95], [384, 434], [368, 418], [46, 96], [184, 234], [276, 326], [322, 372], [0, 50], [282, 332], [376, 426], [423, 473], [135, 185], [360, 410], [450, 500], [98, 148], [147, 197], [245, 295], [343, 393], [392, 442], [96, 146], [192, 242], [47, 97], [141, 191], [188, 238], [235, 285], [336, 386], [329, 379], [196, 246]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
arXiv,uses,preprint,"{'spans': [[288, 338], [0, 50], [192, 242], [184, 234]], 'source': 'c60dd0da1444478d8dbe32ed3aba244e'}"
Mistral AI,publication date,2024,"{'spans': [[0, 50]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Mistral large 2.5 sonnet,publication date,2024,"{'spans': [[0, 50]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Mistral large 2.5 sonnet,part of,Mistral AI,"{'spans': [[0, 50]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Longbench,publication date,2023,"{'spans': [[46, 96]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Longbench,language of work or name,mul,"{'spans': [[46, 96]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Longbench,genre,mul,"{'spans': [[46, 96]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
arXiv,instance of,preprint,"{'spans': [[92, 142], [138, 188], [45, 95], [48, 98], [144, 194], [432, 482], [230, 280], [368, 418], [506, 556], [46, 96], [184, 234], [276, 326], [322, 372], [0, 50], [282, 332], [376, 426], [423, 473], [384, 434], [135, 185], [270, 320], [360, 410], [450, 500], [98, 148], [147, 197], [245, 295], [343, 393], [392, 442], [288, 338], [414, 464], [96, 146], [192, 242], [141, 191], [114, 164], [329, 379], [196, 246]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
arXiv,has part,arXiv preprint,"{'spans': [[92, 142], [230, 280], [144, 194], [336, 386], [48, 98], [384, 434], [432, 482], [506, 556], [46, 96], [282, 332], [423, 473], [270, 320], [450, 500], [392, 442], [288, 338], [138, 188], [414, 464], [96, 146], [192, 242], [235, 285], [322, 372], [184, 234]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
arXiv preprint,publisher,arXiv,"{'spans': [[138, 188], [230, 280], [144, 194], [432, 482], [368, 418], [276, 326], [0, 50], [192, 242], [360, 410], [343, 393], [135, 185], [423, 473], [184, 234], [322, 372], [392, 442]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
David Dohan,has part,David Dohan,"{'spans': [[184, 234]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
David Dohan,spouse,Valerii Likhosherstov,"{'spans': [[184, 234]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
David Dohan,has part,Valerii Likhosherstov,"{'spans': [[184, 234]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
2022,point in time,2022,"{'spans': [[276, 326], [0, 50], [45, 95], [235, 285], [329, 379], [405, 455], [220, 270], [360, 410], [138, 188], [184, 234], [44, 94], [480, 530], [282, 332], [46, 96], [98, 148], [196, 246], [368, 418]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Conference on Learning Representations,instance of,Inter- national,"{'spans': [[276, 326]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Conference on Learning Representations,organizer,Inter- national,"{'spans': [[276, 326]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
In Advances in Neural Information Processing Sys- tems,author,Kelvin Guu,"{'spans': [[322, 372]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
In Advances in Neural Information Processing Sys- tems,author,Kenton Lee,"{'spans': [[322, 372]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
In Advances in Neural Information Processing Sys- tems,author,Z Z,"{'spans': [[322, 372]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
In Advances in Neural Information Processing Sys- tems (NeurIPS),author,Kelvin Guu,"{'spans': [[322, 372]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
In International confer- ence on machine learning,author,Zora Tung,"{'spans': [[368, 418]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Zora Tung,field of work,machine learning,"{'spans': [[368, 418], [92, 142]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
In International confer- ence on machine learning,author,Panupong Pasu- pat,"{'spans': [[368, 418]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
In International confer- ence on machine learning,author,Mingwei Chang,"{'spans': [[368, 418]], 'source': '3627ba013f564a29a26ee528d99aa17b'}"
Patrick Lewis,has part,Ethan Perez,"{'spans': [[0, 50]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Ethan Perez,part of,Patrick Lewis,"{'spans': [[0, 50]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Patrick Lewis,has part,Mike Lewis,"{'spans': [[0, 50]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Mike Lewis,part of,Patrick Lewis,"{'spans': [[0, 50]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Advances in Neu- ral Information Processing Systems,number of participants,33,"{'spans': [[48, 98], [49, 99]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Tim Rock- täschel,field of work,nlp,"{'spans': [[48, 98]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Advances in Neu- ral Information Processing Systems,number of episodes,33,"{'spans': [[48, 98], [49, 99]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Michael Bendersky,work period (start),2024,"{'spans': [[96, 146]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Michael Bendersky,date of birth,2024,"{'spans': [[96, 146]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Grégoire Mialon,member of,Meta,"{'spans': [[192, 242]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Grégoire Mialon,member of,MetaMeta,"{'spans': [[192, 242]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Roberto Dessì,member of,Meta,"{'spans': [[192, 242]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Maria Lomeli,member of,Meta,"{'spans': [[192, 242]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Christo- foros Nalmpantis,member of,Meta,"{'spans': [[192, 242]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Ram Pasunuru,member of,Meta,"{'spans': [[192, 242]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Augmented language models,developer,Roberta Raileanu,"{'spans': [[240, 290]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Augmented language models,author,Roberta Raileanu,"{'spans': [[240, 290]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Augmented language models,developer,Baptiste Rozière,"{'spans': [[240, 290]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Augmented language models,developer,Timo Schick,"{'spans': [[240, 290]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Augmented language models,developer,Jane Dwivedi-Yu,"{'spans': [[240, 290]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Augmented language models,developer,Asli Celikyilmaz,"{'spans': [[240, 290]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
GPT-4,developer,OpenAI,"{'spans': [[288, 338], [225, 275]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
GPT-4,publication date,2023,"{'spans': [[288, 338]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
GPT-4 technical report,publisher,OpenAI,"{'spans': [[288, 338]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
"Train short, test long",published in,arXiv,"{'spans': [[336, 386]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Nikolay Savinov,student,Denis Teplyashin,"{'spans': [[384, 434]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Denis Teplyashin,student of,Nikolay Savinov,"{'spans': [[384, 434]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Angeliki Lazaridou,spouse,Angeliki Lazaridou,"{'spans': [[384, 434]], 'source': '90d55621bf03448fbb02c8a8e7d6875a'}"
Yutao Sun,work period (start),2022,"{'spans': [[0, 50]], 'source': '3294a142096e4218993635fd20dddc78'}"
Furu Wei,work period (start),2022,"{'spans': [[0, 50]], 'source': '3294a142096e4218993635fd20dddc78'}"
2020,point in time,2020,"{'spans': [[90, 140], [141, 191], [329, 379], [192, 242], [184, 234], [336, 386], [0, 50], [230, 280], [92, 142], [49, 99], [235, 285]], 'source': '3294a142096e4218993635fd20dddc78'}"
Efficient transformers,publication date,2020,"{'spans': [[90, 140]], 'source': '3294a142096e4218993635fd20dddc78'}"
Grok-2,publication date,2020,"{'spans': [[90, 140]], 'source': '3294a142096e4218993635fd20dddc78'}"
C-pack,author,Shitao Xiao,"{'spans': [[135, 185]], 'source': '3294a142096e4218993635fd20dddc78'}"
C-pack,author,Zheng Liu,"{'spans': [[135, 185]], 'source': '3294a142096e4218993635fd20dddc78'}"
C-pack,author,Peitian Zhang,"{'spans': [[135, 185]], 'source': '3294a142096e4218993635fd20dddc78'}"
C-pack,author,Niklas Muennighoff,"{'spans': [[135, 185]], 'source': '3294a142096e4218993635fd20dddc78'}"
C-pack,publication date,2023,"{'spans': [[135, 185], [180, 230]], 'source': '3294a142096e4218993635fd20dddc78'}"
Kumar Avinava Dubey,member of,arXiv,"{'spans': [[180, 230]], 'source': '3294a142096e4218993635fd20dddc78'}"
arXiv,instance of,repository,"{'spans': [[180, 230]], 'source': '3294a142096e4218993635fd20dddc78'}"
Guru Guruganesh,student,Kumar Avinava Dubey,"{'spans': [[180, 230]], 'source': '3294a142096e4218993635fd20dddc78'}"
Big bird,instance of,Transformers,"{'spans': [[225, 275]], 'source': '3294a142096e4218993635fd20dddc78'}"
Big bird,subclass of,Transformers,"{'spans': [[225, 275]], 'source': '3294a142096e4218993635fd20dddc78'}"
Big bird,part of,Transformers,"{'spans': [[225, 275]], 'source': '3294a142096e4218993635fd20dddc78'}"
Xinrong Zhang,date of birth,17283,"{'spans': [[270, 320]], 'source': '3294a142096e4218993635fd20dddc78'}"
Xinrong Zhang,spouse,Yingfa Chen,"{'spans': [[270, 320]], 'source': '3294a142096e4218993635fd20dddc78'}"
Yingfa Chen,spouse,Xinrong Zhang,"{'spans': [[270, 320]], 'source': '3294a142096e4218993635fd20dddc78'}"
∞bench,published in,arXiv,"{'spans': [[315, 365]], 'source': '3294a142096e4218993635fd20dddc78'}"
∞bench,author,Shuo Wang,"{'spans': [[315, 365]], 'source': '3294a142096e4218993635fd20dddc78'}"
Modular RAG,subclass of,RAG,"{'spans': [[0, 50], [82, 132], [141, 191], [220, 270], [48, 98]], 'source': '65ec11a08443407cbb8f4821a026050f'}"
Modular RAG,instance of,RAG,"{'spans': [[0, 50]], 'source': '65ec11a08443407cbb8f4821a026050f'}"
LEGO,subclass of,Reconfigurable Frameworks,"{'spans': [[35, 85]], 'source': '65ec11a08443407cbb8f4821a026050f'}"
LEGO,use,Reconfigurable Frameworks,"{'spans': [[35, 85]], 'source': '65ec11a08443407cbb8f4821a026050f'}"
Modular RAG,use,RAG Systems,"{'spans': [[35, 85]], 'source': '65ec11a08443407cbb8f4821a026050f'}"
Yunfan Gao,field of work,Large Language Model,"{'spans': [[0, 50]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
Yunfan Gao,notable work,Large Language Model,"{'spans': [[0, 50]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
Meng Wang,field of work,Large Language Model,"{'spans': [[0, 50]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
LLMs,subclass of,retrievers,"{'spans': [[46, 96]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
LLMs,use,retrievers,"{'spans': [[46, 96]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
advanced retrievers,subclass of,LLMs,"{'spans': [[46, 96]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
modular RAG,subclass of,RAG paradigm,"{'spans': [[92, 142]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
linear architecture,use,routing,"{'spans': [[138, 188]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
linear architecture,subclass of,RAG framework,"{'spans': [[138, 188]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
linear architecture,subclass of,RAG,"{'spans': [[138, 188]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
routing,use,scheduling,"{'spans': [[184, 234]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
routing,part of,scheduling,"{'spans': [[184, 234]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
looping,subclass of,RAG,"{'spans': [[184, 234]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
operators,subclass of,paradigms,"{'spans': [[230, 280]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
operators,part of,paradigms,"{'spans': [[230, 280]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
operators,different from,paradigms,"{'spans': [[230, 280]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
paradigms,different from,operators,"{'spans': [[230, 280]], 'source': '2e1c025970e64c9d9d6cdfc29f885765'}"
Information retrieval,subclass of,information retrieval,"{'spans': [[0, 50]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
Information retrieval,use,information retrieval,"{'spans': [[0, 50]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
Retrieval-augmented Generation,use,information retrieval,"{'spans': [[0, 50]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
perfor- mance,facet of,information retrieval,"{'spans': [[43, 93]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
perfor- mance,part of,information retrieval,"{'spans': [[43, 93]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
perfor- mance,use,information retrieval,"{'spans': [[43, 93]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
Naive RAG,uses,similarity calculations,"{'spans': [[86, 136]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
similarity calculations,studies,semantic similarity,"{'spans': [[86, 136]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
semantic similarity,studied by,similarity calculations,"{'spans': [[86, 136]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
Naive RAG,uses,similarity calculation,"{'spans': [[86, 136]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
similarity calculation,use,retrieval,"{'spans': [[129, 179]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
similarity calculation,subclass of,retrieval,"{'spans': [[129, 179]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
similarity calculations,use,retrieval,"{'spans': [[129, 179]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
hallucinated,subclass of,erroneous,"{'spans': [[172, 222]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
hallucinated,has effect,erroneous,"{'spans': [[172, 222]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
erroneous,has effect,hallucinated,"{'spans': [[172, 222]], 'source': '3602e94d63a54e3ea99e56e76350969c'}"
pre-retrieval processing,followed by,post-retrieval processing,"{'spans': [[0, 50], [270, 320]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
post-retrieval processing,part of,retrieval phase,"{'spans': [[0, 50]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
post-retrieval processing,subclass of,retrieval phase,"{'spans': [[0, 50]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
LLM,use,retrieval processing,"{'spans': [[49, 99]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
retrieval processing,facet of,retrieval,"{'spans': [[49, 99]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
retrieval,studied by,retrieval processing,"{'spans': [[49, 99]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
ARGE Language Model,subclass of,Language Model,"{'spans': [[98, 148]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
ARGE,subclass of,Language Model,"{'spans': [[98, 148]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
ARGE Language Model,subclass of,LLLMs,"{'spans': [[98, 148]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
knowledge bases,use,knowledge-intensive tasks,"{'spans': [[147, 197]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
knowledge base,use,knowledge,"{'spans': [[147, 197]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
knowledge-intensive tasks,uses,knowledge bases,"{'spans': [[147, 197]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
personal assistant,use,customer service,"{'spans': [[196, 246]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
recommendation systems,use,customer service,"{'spans': [[196, 246]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
knowledge question answering,subclass of,personal assistants,"{'spans': [[196, 246]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
Naive RAG,instance of,paradigm,"{'spans': [[245, 295], [315, 365]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
Naive RAG,part of,RAG,"{'spans': [[245, 295]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
Naive RAG,subclass of,RAG,"{'spans': [[245, 295]], 'source': '6a831a5f81ee47fa89596f8cb6604c41'}"
RAG tech- nology,facet of,Advanced RAG,"{'spans': [[0, 50]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Advanced RAG,use,RAG tech- nology,"{'spans': [[0, 50]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Advanced RAG,part of,RAG tech- nology,"{'spans': [[0, 50]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
maintainability,subclass of,control,"{'spans': [[50, 100]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
maintainability,facet of,control,"{'spans': [[50, 100]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
maintainability,part of,control,"{'spans': [[50, 100]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
knowledge graph,subclass of,index base,"{'spans': [[100, 150]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
knowledge graph,has part,index base,"{'spans': [[100, 150]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
index base,subclass of,knowledge graph,"{'spans': [[100, 150]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Shanghai Research Institute for Intelligent Autonomous Systems,located in the administrative territorial entity,Tongji,"{'spans': [[150, 200]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Shanghai Research Institute for Intelligent Autonomous Robotics,located in the administrative territorial entity,Tongji,"{'spans': [[150, 200]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Shanghai Research Institute for Intelligent Autonomous Intelligent Systems,located in the administrative territorial entity,Tongji,"{'spans': [[150, 200]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Fudan University,located in the administrative territorial entity,Shanghai,"{'spans': [[200, 250]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Fudan University,headquarters location,Shanghai,"{'spans': [[200, 250]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Tongji University,located in the administrative territorial entity,Shanghai,"{'spans': [[250, 300]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Tongji University,country,China,"{'spans': [[250, 300]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
Shanghai,located in the administrative territorial entity,China,"{'spans': [[250, 300]], 'source': '4b57fac878114475b29ebe2a9ef5e418'}"
